a,b,p
currency,main,0.4646189111747851
main,productcat,0.4646189111747851
main,recommendation,0.2920343839541547
ad,main,0.20598280802292263
ad,recommendation,0.2029111747851003
checkout,currency,0.20245272206303724
checkout,shipping,0.20050429799426933
cart,checkout,0.20032091690544412
checkout,productcat,0.19961031518624642
checkout,email,0.19944985673352436
checkout,payment,0.1993352435530086
currency,email,0.19855587392550142
email,productcat,0.19853295128939827
payment,productcat,0.1979598853868195
currency,payment,0.19782234957020056
currency,shipping,0.19759312320916905
cart,currency,0.19745558739255015
productcat,shipping,0.19679083094555874
cart,productcat,0.19669914040114614
email,shipping,0.1956676217765043
cart,email,0.195621776504298
cart,shipping,0.19546131805157593
email,payment,0.19534670487106018
cart,payment,0.19525501432664757
payment,shipping,0.19518624641833812
ad,payment,0.19225214899713466
ad,cart,0.19216045845272206
ad,shipping,0.192
ad,email,0.19069340974212035
ad,checkout,0.18764469914040113
ad,currency,0.1852836676217765
ad,productcat,0.1852836676217765
cart,recommendation,0.17471633237822348
recommendation,shipping,0.17455587392550143
cart,main,0.17391404011461317
main,shipping,0.17375358166189112
payment,recommendation,0.1734785100286533
main,payment,0.17267621776504297
email,recommendation,0.1711404011461318
email,main,0.1703381088825215
checkout,recommendation,0.1674269340974212
checkout,main,0.1666246418338109
productcat,recommendation,0.15720343839541548
currency,recommendation,0.15335243553008596
currency,productcat,0.1077593123209169
