a,b,p
email,main,0.7922413793103448
checkout,main,0.7525862068965518
main,payment,0.7077586206896552
checkout,email,0.5448275862068965
main,shipping,0.5422413793103448
email,payment,0.5
checkout,payment,0.4603448275862069
cart,main,0.45775862068965517
payment,shipping,0.41206896551724137
cart,email,0.41206896551724137
checkout,shipping,0.3931034482758621
email,shipping,0.3905172413793103
cart,payment,0.3275862068965517
cart,checkout,0.3086206896551724
currency,recommendation,0.253448275862069
currency,productcat,0.253448275862069
ad,productcat,0.24741379310344827
ad,currency,0.24741379310344827
ad,recommendation,0.24741379310344827
cart,shipping,0.16206896551724137
ad,cart,0.14913793103448275
cart,productcat,0.13448275862068965
cart,currency,0.13448275862068965
cart,recommendation,0.13448275862068965
ad,shipping,0.12586206896551724
productcat,shipping,0.11982758620689656
currency,shipping,0.11379310344827587
recommendation,shipping,0.10775862068965517
ad,payment,0.09827586206896552
ad,checkout,0.07931034482758621
ad,email,0.07844827586206897
payment,recommendation,0.07241379310344828
payment,productcat,0.07241379310344828
currency,payment,0.07241379310344828
checkout,productcat,0.061206896551724135
checkout,recommendation,0.061206896551724135
checkout,currency,0.059482758620689656
currency,email,0.05344827586206897
email,productcat,0.052586206896551725
email,recommendation,0.05172413793103448
productcat,recommendation,0.04310344827586207
ad,main,0.02586206896551724
currency,main,0.0
main,productcat,0.0
main,recommendation,0.0
